pref_code,district_num,district_code,district_name,pref_name,block_id,block_name
33,3,3303,岡山3区,岡山県,9,中国
33,4,3304,岡山4区,岡山県,9,中国
34,1,3401,広島1区,広島県,9,中国
34,2,3402,広島2区,広島県,9,中国
34,3,3403,広島3区,広島県,9,中国
34,4,3404,広島4区,広島県,9,中国
34,5,3405,広島5区,広島県,9,中国
34,6,3406,広島6区,広島県,9,中国
35,1,3501,山口1区,山口県,9,中国
35,2,3502,山口2区,山口県,9,中国
35,3,3503,山口3区,山口県,9,中国
36,1,3601,徳島1区,徳島県,10,四国
36,2,3602,徳島2区,徳島県,10,四国
37,1,3701,香川1区,香川県,10,四国
37,2,3702,香川2区,香川県,10,四国
37,3,3703,香川3区,香川県,10,四国
38,1,3801,愛媛1区,愛媛県,10,四国
38,2,3802,愛媛2区,愛媛県,10,四国
38,3,3803,愛媛3区,愛媛県,10,四国
39,1,3901,高知1区,高知県,10,四国
39,2,3902,高知2区,高知県,10,四国
40,1,4001,福岡1区,福岡県,11,九州
40,2,4002,福岡2区,福岡県,11,九州
40,3,4003,福岡3区,福岡県,11,九州
40,4,4004,福岡4区,福岡県,11,九州
40,5,4005,福岡5区,福岡県,11,九州
40,6,4006,福岡6区,福岡県,11,九州
40,7,4007,福岡7区,福岡県,11,九州
40,8,4008,福岡8区,福岡県,11,九州
40,9,4009,福岡9区,福岡県,11,九州
40,10,4010,福岡10区,福岡県,11,九州
40,11,4011,福岡11区,福岡県,11,九州
41,1,4101,佐賀1区,佐賀県,11,九州
41,2,4102,佐賀2区,佐賀県,11,九州
42,1,4201,長崎1区,長崎県,11,九州
42,2,4202,長崎2区,長崎県,11,九州
42,3,4203,長崎3区,長崎県,11,九州
43,1,4301,熊本1区,熊本県,11,九州
43,2,4302,熊本2区,熊本県,11,九州
43,3,4303,熊本3区,熊本県,11,九州
43,4,4304,熊本4区,熊本県,11,九州
44,1,4401,大分1区,大分県,11,九州
44,2,4402,大分2区,大分県,11,九州
44,3,4403,大分3区,大分県,11,九州
45,1,4501,宮崎1区,宮崎県,11,九州
45,2,4502,宮崎2区,宮崎県,11,九州
45,3,4503,宮崎3区,宮崎県,11,九州
46,1,4601,鹿児島1区,鹿児島県,11,九州
46,2,4602,鹿児島2区,鹿児島県,11,九州
46,3,4603,鹿児島3区,鹿児島県,11,九州
46,4,4604,鹿児島4区,鹿児島県,11,九州
47,1,4701,沖縄1区,沖縄県,11,九州
47,2,4702,沖縄2区,沖縄県,11,九州
47,3,4703,沖縄3区,沖縄県,11,九州
47,4,4704,沖縄4区,沖縄県,11,九州
