idx,muni_code,muni_name,pref_name
384,07344,天栄村,福島県
385,07362,下郷町,福島県
386,07364,檜枝岐村,福島県
387,07367,只見町,福島県
388,07368,南会津町,福島県
389,07402,北塩原村,福島県
390,07405,西会津町,福島県
391,07407,磐梯町,福島県
392,07408,猪苗代町,福島県
393,07421,会津坂下町,福島県
394,07422,湯川村,福島県
395,07423,柳津町,福島県
396,07444,三島町,福島県
397,07445,金山町,福島県
398,07446,昭和村,福島県
399,07447,会津美里町,福島県
400,07461,西郷村,福島県
401,07464,泉崎村,福島県
402,07465,中島村,福島県
403,07466,矢吹町,福島県
404,07481,棚倉町,福島県
405,07482,矢祭町,福島県
406,07483,塙町,福島県
407,07484,鮫川村,福島県
408,07501,石川町,福島県
409,07502,玉川村,福島県
410,07503,平田村,福島県
411,07504,浅川町,福島県
412,07505,古殿町,福島県
413,07521,三春町,福島県
414,07522,小野町,福島県
415,07541,広野町,福島県
416,07542,楢葉町,福島県
417,07543,富岡町,福島県
418,07544,川内村,福島県
419,07545,大熊町,福島県
420,07546,双葉町,福島県
421,07547,浪江町,福島県
422,07548,葛尾村,福島県
423,07561,新地町,福島県
424,07564,飯舘村,福島県
425,08201,水戸市,茨城県
426,08202,日立市,茨城県
427,08203,土浦市,茨城県
428,08204,古河市,茨城県
429,08205,石岡市,茨城県
430,08207,結城市,茨城県
431,08208,龍ケ崎市,茨城県
432,08210,下妻市,茨城県
433,08211,常総市,茨城県
434,08212,常陸太田市,茨城県
435,08214,高萩市,茨城県
436,08215,北茨城市,茨城県
437,08216,笠間市,茨城県
438,08217,取手市,茨城県
439,08219,牛久市,茨城県
440,08220,つくば市,茨城県
441,08221,ひたちなか市,茨城県
442,08222,鹿嶋市,茨城県
443,08223,潮来市,茨城県
444,08224,守谷市,茨城県
445,08225,常陸大宮市,茨城県
446,08226,那珂市,茨城県
447,08227,筑西市,茨城県
448,08228,坂東市,茨城県
449,08229,稲敷市,茨城県
450,08230,かすみがうら市,茨城県
451,08231,桜川市,茨城県
452,08232,神栖市,茨城県
453,08233,行方市,茨城県
454,08234,鉾田市,茨城県
455,08235,つくばみらい市,茨城県
456,08236,小美玉市,茨城県
457,08302,茨城町,茨城県
458,08309,大洗町,茨城県
459,08310,城里町,茨城県
460,08341,東海村,茨城県
461,08364,大子町,茨城県
462,08442,美浦村,茨城県
463,08443,阿見町,茨城県
464,08447,河内町,茨城県
465,08521,八千代町,茨城県
466,08542,五霞町,茨城県
467,08546,境町,茨城県
468,08564,利根町,茨城県
469,09201,宇都宮市,栃木県
470,09202,足利市,栃木県
471,09203,栃木市,栃木県
472,09204,佐野市,栃木県
473,09205,鹿沼市,栃木県
474,09206,日光市,栃木県
475,09208,小山市,栃木県
476,09209,真岡市,栃木県
477,09210,大田原市,栃木県
478,09211,矢板市,栃木県
479,09213,那須塩原市,栃木県
480,09214,さくら市,栃木県
481,09215,那須烏山市,栃木県
482,09216,下野市,栃木県
483,09301,上三川町,栃木県
484,09342,益子町,栃木県
485,09343,茂木町,栃木県
486,09344,市貝町,栃木県
487,09345,芳賀町,栃木県
488,09361,壬生町,栃木県
489,09364,野木町,栃木県
490,09384,塩谷町,栃木県
491,09386,高根沢町,栃木県
492,09407,那須町,栃木県
493,09411,那珂川町,栃木県
494,10201,前橋市,群馬県
495,10202,高崎市,群馬県
496,10203,桐生市,群馬県
497,10204,伊勢崎市,群馬県
498,10205,太田市,群馬県
499,10206,沼田市,群馬県
500,10207,館林市,群馬県
501,10208,渋川市,群馬県
502,10209,藤岡市,群馬県
503,10210,富岡市,群馬県
504,10211,安中市,群馬県
505,10212,みどり市,群馬県
506,10344,榛東村,群馬県
507,10345,吉岡町,群馬県
508,10366,上野村,群馬県
509,10367,神流町,群馬県
510,10382,下仁田町,群馬県
511,10383,南牧村,群馬県
512,10384,甘楽町,群馬県
513,10421,中之条町,群馬県
514,10424,長野原町,群馬県
515,10425,嬬恋村,群馬県
516,10426,草津町,群馬県
517,10428,高山村,群馬県
518,10429,東吾妻町,群馬県
519,10443,片品村,群馬県
520,10444,川場村,群馬県
521,10448,昭和村,群馬県
522,10449,みなかみ町,群馬県
