kucode,kuname,pref_code,pref_name,block_id,block_name,pop_total,pct_elderly_65,pct_child_under15,pct_child_under5,pct_foreign,pct_working_age_3044,pct_college,pct_primary_ind,pct_tertiary_ind,pct_secondary_ind,pct_ict_industry,female_labor_participation,pct_owner_occupied,pct_apartment,pct_commute_other_pref,pct_single_hh,avg_hh_size,pct_married,pct_nuclear_with_child,pct_single_parent,pct_hh_with_child_under6,pct_hh_with_child_under18,nursery_ratio
2307,愛知7区,23,愛知県,7,東海,441147,0.22127544786658415,0.14572920137731868,0.045617447245476,0.0233346254196447,0.1891569023477435,0.34273884478510813,0.009395749541873914,0.6567029201075704,0.3095076037030867,0.026673647635593423,0.5500122550449935,0.6798931073665698,0.42194039822074014,0.012417393138357706,0.3125854047146169,2.437612929962702,0.6297950820836778,0.33015595523271574,0.07470803343715596,0.10361977682745344,0.25138168922918613,0.633262823902697
2308,愛知8区,23,愛知県,7,東海,535372,0.2544193570078375,0.13492487466658698,0.040063731386774055,0.0228121754593068,0.18217052815612322,0.2203611800385994,0.02668353048365581,0.5932155172745202,0.35432468486062363,0.01425095051187323,0.5445838417434975,0.7069513013754064,0.3166767437763929,0.0073255596612557695,0.3231586263918481,2.4291035803247745,0.6036731747823904,0.30565916018916867,0.08559837543896312,0.08950986048582371,0.22642092303778377,0.7624590273596896
2309,愛知9区,23,愛知県,7,東海,459985,0.27528723762731394,0.1251953868060915,0.036388143091622555,0.024335576160092177,0.17050773394784613,0.23062620179225773,0.03171477318081938,0.6456419050793637,0.2936127473125118,0.01982886039973509,0.5498833596602262,0.7317647598145676,0.30300668725753677,0.04284659254092644,0.27707856173978784,2.5531176803614444,0.6034811238265695,0.3092937670943497,0.09303217629138778,0.08586644726601587,0.23156033888505925,0.696810760510955
2310,愛知10区,23,愛知県,7,東海,428056,0.26757713943969946,0.12777533780626835,0.03811417197749827,0.018911077055338555,0.17067393051376456,0.2470550408796365,0.009432414698162729,0.6751865977690289,0.2848794291338583,0.021797080052493437,0.5462607259541162,0.6863137098101936,0.3478079356492697,0.0688108606547484,0.3036042949209848,2.466143927915056,0.6119232976199652,0.30110027059617706,0.09709152381996411,0.0869831122599108,0.2273584851229799,0.6798129521792836
2311,愛知11区,23,愛知県,7,東海,484282,0.224342428584998,0.13493377825316655,0.040486741196245166,0.03716842666049946,0.19104571303496723,0.23624950179354323,0.016487258712914052,0.5164664939034519,0.4345700853848965,0.013958104920429251,0.556729742522814,0.6521046313194119,0.4019283257158546,0.006934374853828524,0.3553188733573115,2.4097348347257537,0.6002508734435746,0.29692434915163046,0.0711624107045004,0.09005768713447379,0.2307335930416762,0.48260609683203826
2312,愛知12区,23,愛知県,7,東海,553700,0.24029438324002167,0.14041899945819036,0.04222141954126783,0.03575221238938053,0.1926801517067004,0.23753862237794812,0.02335942809676039,0.5502123420919202,0.3982933521282755,0.012531959192920251,0.5634590293474465,0.6942305216325635,0.3451339249524336,0.006318348334176459,0.305351483062492,2.53243872431315,0.6171389721561235,0.3099912060531667,0.08161881904622319,0.09907388747412198,0.24673891138266493,0.669095114194854
2313,愛知13区,23,愛知県,7,東海,532581,0.20847157521578877,0.14115411552421134,0.04488331352413999,0.046702755073876084,0.20147170101824888,0.26343395627261507,0.017551741467797696,0.515122671824315,0.4399128885369234,0.017738300108127866,0.5698257025255349,0.6200763487071139,0.4458668459340712,0.007212669585738455,0.35140441432597613,2.407385141121377,0.6044249661936493,0.3050037773746568,0.0759591591156872,0.09919340610622791,0.23957602927804644,0.6429541486128177
2314,愛知14区,23,愛知県,7,東海,359399,0.2814615510894577,0.13159747244705744,0.038834276110951894,0.031499809404032846,0.17619692876162704,0.19591068557228475,0.0507828418230563,0.5482895442359249,0.37994638069705094,0.008423592493297587,0.5627297004309775,0.7201071146186093,0.25663498978084764,0.015506606156354085,0.2863975911425505,2.5817224461062143,0.6009822360858122,0.2940549340517645,0.08961180224893928,0.09236354730192117,0.2341000280937322,0.7755897435897436
2315,愛知15区,23,愛知県,7,東海,431280,0.26074707846410683,0.12979966611018365,0.03785707660916342,0.0418938972361343,0.17966518271192727,0.20560667439226912,0.08817016919007047,0.5544242282696082,0.3287551257809377,0.008798602284312977,0.5838731615104431,0.6542612288530024,0.3379676061328545,0.04400395502859724,0.3240815379708296,2.49761114682326,0.5955244997707166,0.2803781134920405,0.08940760286484763,0.08820715052048599,0.22608519152144285,0.7429675118858954
2316,愛知16区,23,愛知県,7,東海,480612,0.25843715928857375,0.12978036337003654,0.03817008314399141,0.033675813337994055,0.1779210673058517,0.2524322185789729,0.010154248911734137,0.6314986105856414,0.3285845368401369,0.019051719264371415,0.5441768542011785,0.6717687074829932,0.36046499345079647,0.049503739784376465,0.30777829386934263,2.4501394291307474,0.6072851033680002,0.30135720738884325,0.08861916015455525,0.0869296691966496,0.2275708590882874,0.6286822283540905
2401,三重1区,24,三重県,7,東海,433682,0.29636922906645885,0.12176894590967575,0.035666686650587295,0.025908384484484022,0.16725849816224791,0.22720036837258256,0.028194430969244202,0.6755069370330843,0.2630687882021927,0.013088192490540409,0.5371364690203594,0.715056958335202,0.27037269587836926,0.027031231412596883,0.3356571416063826,2.3679836631284674,0.595029489990247,0.26401125058824815,0.08810042353868211,0.07803180370568986,0.20659822923620763,0.7373965387509406
2402,三重2区,24,三重県,7,東海,497672,0.27722877718658073,0.11807174203089585,0.03386366924400006,0.03507932935748847,0.16466266938867366,0.20089383837643784,0.028882778800797114,0.5801654768811644,0.3540011267226665,0.008656425262131187,0.5433180023321806,0.706592530571112,0.27503221310283626,0.06002164088854942,0.3318648407120257,2.399552559763165,0.6106102207915765,0.26183609883341785,0.08066565224742168,0.07575296476100765,0.2032171581769437,0.7247905677939808
2403,三重3区,24,三重県,7,東海,500506,0.26009478407851255,0.12784861719939422,0.037961582878127335,0.02605563170071887,0.1794683780014625,0.24302254074126636,0.014813190813422463,0.602918790125091,0.34702412469389105,0.01384522470050963,0.5524902406369107,0.7032217321472082,0.30507749760073194,0.11872598640097844,0.33207856208962516,2.3940209982541316,0.6167410059915638,0.28884642462033594,0.08047777091325316,0.08440012835064631,0.21889532238521478,0.6479185119574845
2404,三重4区,24,三重県,7,東海,338394,0.3705591706708748,0.10499890659999882,0.029202645436975833,0.008824033523053009,0.1408446958279402,0.1429108585427876,0.06368965043180483,0.66834764350793,0.23523052503968106,0.006480196967992701,0.5064063652444079,0.82741406052736,0.1291851531219565,0.02625972499985164,0.31775569874981596,2.3666067544601956,0.5920564279685864,0.23714932792965873,0.09424410492290648,0.06391154053807697,0.17740974203998064,0.8548929869430609
2501,滋賀1区,25,滋賀県,8,近畿,391447,0.27392214016201427,0.12885780195020016,0.03830659067511055,0.011488145266153528,0.16808661198067681,0.3097214557272504,0.017031128226287075,0.725565030027965,0.2259260532709852,0.02009696052812543,0.5257555318291958,0.7400164266958696,0.3484263972024839,0.23603158146582662,0.32063048439654857,2.385054074638233,0.6196103900158929,0.29484237890086284,0.08789069651073386,0.08525452481784786,0.2194734979313375,0.6830259456080024
2502,滋賀2区,25,滋賀県,8,近畿,532863,0.2726911044677525,0.13259130395617635,0.038409497375498015,0.023826011563947955,0.17670770911097225,0.20391377957851198,0.03108940343189279,0.5726566927995679,0.3628707391388695,0.007706733311270622,0.5506759228771082,0.7520937686831489,0.23389920770888703,0.049386061237004605,0.29693584377324367,2.586424816646685,0.606512761492113,0.28340649778075944,0.08447698358296751,0.09156980277198458,0.2367125099051536,0.6962333949890701
